X,Y,OBJECTID,Event_Uniq,district,Crime_Type,Occurren_4,DateCon,Crimestopp,Divisional
-79.41214668,43.75961401,1,GO-2017450289,d32,Assault,2,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/
-79.51414941,43.7206339,2,GO-2017450835,d31,Assault,7,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/
-79.55082636,43.72533528,3,GO-2017451139,d23,Assault,8,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.26242635,43.77333996,4,GO-2017451769,d43,Assault,10,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.55402537,43.6929015,5,GO-2017452248,d23,Assault,11,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.48386949,43.69106884,6,GO-2017452691,d12,Assault,13,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/
-79.18622555,43.768409,7,GO-2017453170,d43,Assault,14,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.2270842,43.73798076,8,GO-2017453323,d43,Assault,14,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.59945115,43.73090878,9,GO-2017452546,d23,Assault,16,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.35807807,43.79082498,10,GO-2017454513,d33,Assault,18,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d33/
-79.38249377,43.66941082,11,GO-2017454715,d53,Assault,18,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d53/
-79.25233932,43.73369027,12,GO-2017453451,d41,Assault,15,"Monday, March 13, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.38279617,43.66058336,13,GO-2017456550,d52,Assault,4,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.42103142,43.77696504,14,GO-2017456742,d32,Assault,5,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/
-79.42938565,43.65880415,15,GO-2017456608,d14,Assault,6,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.20297156,43.80649916,16,GO-2017457278,d42,Assault,8,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/
-79.55615414,43.61421774,17,GO-2017458179,d22,Assault,11,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.55615414,43.61421774,18,GO-2017458529,d22,Assault,12,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d22/
-79.30236951,43.69261279,19,GO-2017459054,d54,Assault,14,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d54/
-79.39285905,43.64732078,20,GO-2017459691,d52,Assault,16,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.3864887,43.66715664,21,GO-2017460361,d52,Assault,18,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.41516335,43.65385681,22,GO-2017460667,d14,Assault,19,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.25331433,43.70556722,23,GO-2017460814,d41,Assault,19,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.22011353,43.80356526,24,GO-2017461154,d42,Assault,20,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/
-79.42797266,43.79395908,25,GO-2017462096,d32,Assault,22,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/
-79.39758667,43.6417692,26,GO-2017461760,d14,Assault,23,"Tuesday, March 14, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.19543305,43.78483026,27,GO-2017462215,d43,Assault,1,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.35334369,43.63813446,28,GO-2017462265,d51,Assault,2,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.26493164,43.72512065,29,GO-2017462953,d41,Assault,7,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.50318532,43.76663036,30,GO-2017463006,d31,Assault,7,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/
-79.44078329,43.63645813,31,GO-2017462669,d14,Assault,5,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.39962809,43.64593412,32,GO-2017463629,d14,Assault,9,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.56621629,43.67912975,33,GO-2017463685,d23,Assault,9,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.37441272,43.6499219,34,GO-2017463836,d51,Assault,9,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.38075911,43.65212629,35,GO-2017464791,d52,Assault,13,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.26271025,43.7089178,36,GO-2017466047,d41,Assault,16,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d41/
-79.39470039,43.78434708,37,GO-2017466201,d32,Assault,16,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d32/
-79.37775902,43.65196349,38,GO-2017466524,d51,Assault,2,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.58940849,43.75525085,39,GO-2017466831,d23,Assault,18,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d23/
-79.51211511,43.69743103,40,GO-2017467042,d12,Assault,19,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d12/
-79.53485883,43.72496741,41,GO-2017467402,d31,Assault,20,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d31/
-79.21690134,43.77722741,42,GO-2017467495,d43,Assault,20,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.38824615,43.6668124,43,GO-2017467515,d52,Assault,21,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d52/
-79.44156508,43.63663874,44,GO-2017467616,d14,Assault,21,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d14/
-79.24845311,43.75267951,45,GO-2017467818,d43,Assault,22,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
-79.210375,43.80172606,46,GO-2017467924,d42,Assault,17,"Wednesday, March 15, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d42/
-79.37473469,43.66068127,47,GO-2017468575,d51,Assault,2,"Thursday, March 16, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d51/
-79.2329791,43.77954463,48,GO-2017468728,d43,Assault,3,"Thursday, March 16, 2017",https://www.tipsubmit.com/WebTips.aspx?AgencyID=312&HR=https://www.alphacomputer.ca/fb/boxes/leave-a-tip/index.html,http://www.torontopolice.on.ca/d43/
